index,target
0,0.031638842
1,0.3141037
2,0.2900472
3,0.7881264
4,0.03782116
5,0.6212316
6,0.032139294
7,0.13494937
8,0.68933773
9,0.48862556
10,0.039952163
11,0.35861334
12,0.74836075
13,0.031671673
14,0.33630544
15,0.04347455
16,0.58313656
17,0.038090542
18,0.072674364
19,0.2377767
20,0.29796353
21,0.029893592
22,0.04793183
23,0.32153234
24,0.11805876
25,0.81904763
26,0.10080002
27,0.09332251
28,0.14417893
29,0.053935982
30,0.55919844
31,0.046377603
32,0.030443406
33,0.031072123
34,0.6824766
35,0.5335897
36,0.17021927
37,0.09324765
38,0.031231292
39,0.38447586
40,0.14867544
41,0.33087513
42,0.03768615
43,0.15369374
44,0.030014198
45,0.06626574
46,0.02930028
47,0.55084
48,0.13551018
49,0.031279817
50,0.30926085
51,0.68212277
52,0.31498674
53,0.16520783
54,0.23085913
55,0.11262218
56,0.09601909
57,0.03832349
58,0.059814177
59,0.8530344
60,0.030014198
61,0.08930551
62,0.44929475
63,0.868565
64,0.48780754
65,0.14084679
66,0.032366104
67,0.40986833
68,0.32218036
69,0.2441644
70,0.34405854
71,0.03429089
72,0.41915715
73,0.06501405
74,0.04349775
75,0.25088632
76,0.058903072
77,0.030393634
78,0.46910653
79,0.043039195
80,0.119535536
81,0.046263047
82,0.43251973
83,0.17054278
84,0.12718548
85,0.030576563
86,0.04495426
87,0.14508843
88,0.33334368
89,0.033597957
90,0.041154463
91,0.03315441
92,0.04361108
93,0.05514075
94,0.039682563
95,0.42716938
96,0.036316924
97,0.030014198
98,0.030323979
99,0.034336634
100,0.18761396
101,0.27573675
102,0.3203859
103,0.03603913
104,0.35969904
105,0.029987507
106,0.05342292
107,0.11728639
108,0.15180095
109,0.029343335
110,0.03031708
111,0.079932205
112,0.04963977
113,0.05029516
114,0.74072963
115,0.038318206
116,0.16826235
117,0.8482263
118,0.39565203
119,0.030657873
120,0.7090658
121,0.38662001
122,0.08256366
123,0.34803256
124,0.12026048
125,0.1778089
126,0.05847646
127,0.68408936
128,0.030322744
129,0.8453377
130,0.797586
131,0.080258295
132,0.07563635
133,0.06271115
134,0.28479186
135,0.9099879
136,0.03576151
137,0.034896396
138,0.10634878
139,0.09958171
140,0.031185841
141,0.8103824
142,0.03546619
143,0.042546682
144,0.04690556
145,0.046791088
146,0.18337584
147,0.12239722
148,0.28479186
149,0.10533129
150,0.06407214
151,0.7250333
152,0.35485953
153,0.5367802
154,0.3845312
155,0.030545516
156,0.11241525
157,0.7884954
158,0.21157177
159,0.05157251
160,0.3815878
161,0.101807624
162,0.41273808
163,0.104935944
164,0.30964792
165,0.3370962
166,0.75027996
167,0.14928947
168,0.86067784
169,0.24413212
170,0.06823428
171,0.12702624
172,0.042110275
173,0.037804335
174,0.84759855
175,0.32434928
176,0.058650576
177,0.04762059
178,0.062168635
179,0.11446154
180,0.71888644
181,0.03171079
182,0.124339834
183,0.5105455
184,0.52730846
185,0.30502978
186,0.1365375
187,0.51174134
188,0.5962627
189,0.16968086
190,0.24118069
191,0.66661084
192,0.37921777
193,0.035501283
194,0.04078692
195,0.09061579
196,0.4668937
197,0.035962015
198,0.2964733
199,0.044170324
200,0.03145871
201,0.06495588
202,0.07755967
203,0.43135118
204,0.033584584
205,0.064123385
206,0.447747
207,0.5823603
208,0.39565203
209,0.884084
210,0.485314
211,0.029066108
212,0.7004635
213,0.31141666
214,0.29305774
215,0.12937345
216,0.094960235
217,0.31175172
218,0.03875001
219,0.04504493
220,0.2262452
221,0.032202043
222,0.13534732
223,0.02930028
224,0.24376722
225,0.031458784
226,0.17312603
227,0.107182115
228,0.37817457
229,0.24021749
230,0.03005827
231,0.11113174
232,0.20915404
233,0.074791566
234,0.030014198
235,0.14887363
236,0.046646595
237,0.04937832
238,0.1326411
239,0.5624694
240,0.08958947
241,0.055959765
242,0.044808008
243,0.09464876
244,0.1813654
245,0.10739256
246,0.18976238
247,0.21630263
248,0.18853445
249,0.4240944
250,0.23185134
251,0.029223604
252,0.11792805
253,0.02867263
254,0.8671979
255,0.06391629
256,0.2705089
257,0.1542657
258,0.030597562
259,0.061142128
260,0.5626307
261,0.074763276
262,0.029466702
263,0.48780754
264,0.33327505
265,0.06302184
266,0.49783644
267,0.13519473
268,0.20628929
269,0.048200116
270,0.08175494
271,0.034917656
272,0.0753226
273,0.03156907
274,0.6276724
275,0.078396596
276,0.3897429
277,0.038219348
278,0.05493298
279,0.057548005
280,0.030014198
281,0.114637434
282,0.03903984
283,0.70905423
284,0.41412136
285,0.52756
286,0.031529877
287,0.2888377
288,0.3934709
289,0.22604376
290,0.12671895
291,0.034257755
292,0.63642544
293,0.2204769
294,0.06640915
295,0.6698784
296,0.31622007
297,0.10634823
298,0.034438457
299,0.6152243
300,0.15996401
301,0.02867263
302,0.27194178
303,0.029105334
304,0.3515778
305,0.054190826
306,0.8436883
307,0.03272978
308,0.07101298
309,0.040880963
310,0.29098967
311,0.25924078
312,0.17437801
313,0.09415755
314,0.076314345
315,0.7043526
316,0.76594174
317,0.08558322
318,0.627393
319,0.16170134
320,0.033879407
321,0.07364547
322,0.029368253
323,0.05124771
324,0.23221934
325,0.35320067
326,0.654633
327,0.22056487
328,0.88507396
329,0.11348409
330,0.07215202
331,0.17339899
332,0.19817676
333,0.08665627
334,0.13356957
335,0.40357995
336,0.51591235
337,0.5094998
338,0.41451508
339,0.6043408
340,0.03562812
341,0.17482011
342,0.06629517
343,0.09098693
344,0.562513
345,0.057098784
346,0.45364502
347,0.44081533
348,0.030927788
349,0.030163415
350,0.3552347
351,0.08768148
352,0.6716293
353,0.049589258
354,0.19978467
355,0.14010814
356,0.050427906
357,0.047056347
358,0.30438334
359,0.82028574
360,0.20010397
361,0.04074697
362,0.26712877
363,0.031701807
364,0.0674623
365,0.69723284
366,0.66630864
367,0.6659789
368,0.12006111
369,0.03448818
370,0.028173165
371,0.32218036
372,0.06127865
373,0.0812184
374,0.036700226
375,0.038640555
376,0.6212134
377,0.056111127
378,0.32548028
379,0.04174995
380,0.20861803
381,0.19263376
382,0.1280419
383,0.23347756
384,0.90127647
385,0.23883523
386,0.06473764
387,0.037251387
388,0.0902199
389,0.04014733
390,0.07543234
391,0.04961854
392,0.04061999
393,0.052104954
394,0.33744976
395,0.028625391
396,0.30949873
397,0.046227872
398,0.6413683
399,0.4611896
400,0.36358654
401,0.82518476
402,0.20517676
403,0.2131155
404,0.04273824
405,0.3456164
406,0.029343335
407,0.7405523
408,0.43341702
409,0.082921304
410,0.03903984
411,0.035778843
412,0.2641043
413,0.2272369
414,0.68346107
415,0.10633065
416,0.056021176
417,0.043673184
418,0.035430167
419,0.64483684
420,0.029749176
421,0.21545443
422,0.24788281
423,0.22583778
424,0.63624454
425,0.14249519
426,0.2485263
427,0.05015378
428,0.7126205
429,0.2964733
430,0.20504451
431,0.030576563
432,0.07920424
433,0.24023645
434,0.033485606
435,0.095374554
436,0.2170389
437,0.037304524
438,0.3266798
439,0.06966083
440,0.5233322
441,0.092078015
442,0.03005827
443,0.85694623
444,0.077584684
445,0.088739105
446,0.031918652
447,0.04150294
448,0.061634745
449,0.09990108
450,0.056508943
451,0.046312515
452,0.22583966
453,0.16001782
454,0.13486587
455,0.5163761
