ID,pred
8010,0.67
8011,0.73
8012,0.49
8013,0.74
8014,0.44
8015,0.53
8016,0.57
8017,0.53
8018,0.56
8019,0.56
8020,0.64
8021,0.56
8022,0.63
8023,0.52
8024,0.6
8025,0.73
8026,0.53
8027,0.69
8028,0.52
8029,0.55
8030,0.67
8031,0.47
8032,0.43
8033,0.47
8034,0.66
8035,0.66
8036,0.59
8037,0.53
8038,0.46
8039,0.15
8040,0.77
8041,0.64
8042,0.58
8043,0.55
8044,0.81
8045,0.53
8046,0.52
8047,0.48
8048,0.57
8049,0.53
8050,0.87
8051,0.3
8052,0.51
8053,0.37
8054,0.56
8055,0.3
8056,0.38
8057,0.5
8058,0.53
8059,0.45
8060,0.34
8061,0.43
8062,0.31
8063,0.5
8064,0.28
8065,0.34
8066,0.55
8067,0.48
8068,0.64
8069,0.33
8070,0.75
8071,0.51
8072,0.64
8073,0.6
8074,0.39
8075,0.4
8076,0.33
8077,0.32
8078,0.29
8079,0.52
8080,0.49
8081,0.5
8082,0.41
8083,0.36
8084,0.46
8085,0.5
8086,0.51
8087,0.47
8088,0.37
8089,0.44
8090,0.46
8091,0.48
8092,0.51
8093,0.39
8094,0.46
8095,0.43
8096,0.5
8097,0.55
8098,0.35
8099,0.51
8100,0.55
8101,0.49
8102,0.33
8103,0.38
8104,0.44
8105,0.47
8106,0.43
8107,0.61
8108,0.42
8109,0.44
8110,0.69
8111,0.33
8112,0.56
8113,0.46
8114,0.75
8115,0.39
8116,0.53
8117,0.45
8118,0.27
8119,0.61
8120,0.27
8121,0.28
8122,0.27
8123,0.53
8124,0.49
8125,0.46
8126,0.36
8127,0.47
8128,0.41
8129,0.53
8130,0.42
8131,0.49
8132,0.47
8133,0.51
8134,0.52
8135,0.24
8136,0.38
8137,0.42
8138,0.42
8139,0.52
8140,0.33
8141,0.23
8142,0.53
8143,0.59
8144,0.41
8145,0.42
8146,0.51
8147,0.54
8148,0.49
8149,0.55
8150,0.52
8151,0.44
8152,0.28
8153,0.44
8154,0.51
8155,0.5
8156,0.64
8157,0.55
8158,0.45
8159,0.52
8160,0.36
8161,0.52
8162,0.5
8163,0.53
8164,0.41
8165,0.34
8166,0.48
8167,0.47
8168,0.5
8169,0.35
8170,0.32
8171,0.37
8172,0.27
8173,0.39
8174,0.34
8175,0.32
8176,0.3
8177,0.46
8178,0.65
8179,0.6
8180,0.59
8181,0.31
8182,0.44
8183,0.29
8184,0.49
8185,0.32
8186,0.57
8187,0.37
8188,0.35
8189,0.38
8190,0.51
8191,0.43
8192,0.61
8193,0.49
8194,0.34
8195,0.51
8196,0.43
8197,0.49
8198,0.36
8199,0.59
8200,0.52
8201,0.39
8202,0.33
8203,0.4
8204,0.57
8205,0.4
8206,0.53
8207,0.3
8208,0.52
8209,0.46
8210,0.5
8211,0.29
8212,0.51
8213,0.55
8214,0.42
8215,0.42
8216,0.47
8217,0.46
8218,0.7
8219,0.28
8220,0.82
8221,0.48
8222,0.44
8223,0.5
8224,0.49
8225,0.33
8226,0.52
8227,0.63
8228,0.32
8229,0.47
8230,0.42
8231,0.34
8232,0.27
8233,0.63
8234,0.32
8235,0.54
8236,0.54
8237,0.49
8238,0.36
