ID,pred
ID_2575,5738595972.89
ID_6637,40465973.13
ID_5704,2910252.0
ID_3606,2071950.24
ID_6443,565768.3
ID_2514,433407593.61
ID_1099,52039824.59
ID_6504,262203583.8
ID_3335,6757538250.1
ID_4770,277731109.24
ID_433,334257253.06
ID_6751,789970802.31
ID_2635,4238379.11
ID_2773,902091282.26
ID_5167,222607412.66
ID_2879,390951681.39
ID_2778,3014259.04
ID_6548,3191945.9
ID_124,399043334.94
ID_3700,713796.6
ID_6949,50435803.12
ID_2727,337036979.44
ID_5315,228492303.24
ID_5222,366918841.56
ID_6916,1735592977.4
ID_5034,442031.9
ID_4971,102065390.62
ID_4147,262059981.83
ID_6503,11180047.3
ID_3622,665470763.19
ID_3642,4241694930.79
ID_4988,412768955.44
ID_255,356725273.24
ID_1349,259080490.22
ID_5208,55730784.17
ID_3780,295496407.75
ID_1326,89638466.5
ID_1375,685669835.25
ID_3283,9938873.0
ID_6265,989977504.08
ID_31,583425782.47
ID_2498,69067467.08
ID_3664,259846372.98
ID_1588,1138292.22
ID_3310,385392066.48
ID_7116,92460571.29
ID_3122,1923080944.67
ID_4228,1877886681.23
ID_2778,3014259.04
ID_3391,30223693.2
ID_5681,1321527.7
ID_5927,26548561.88
ID_6143,77918415.74
ID_2990,256924969.1
ID_6792,65826315.75
ID_4530,2181347.0
ID_4602,1894362553.57
ID_5865,110706798.46
ID_3565,41820312.91
ID_4488,4230539.42
ID_2807,9159300341.69
ID_1425,71155138.18
ID_918,22451134.7
ID_4856,8125571927.6
ID_6650,273040353.71
ID_1909,716115096.68
ID_3657,5378935940.47
ID_1721,896859163.99
ID_5993,246746219.03
ID_366,82103324.35
ID_5884,326202958.42
ID_4570,251954000.19
ID_2494,9568105.2
ID_3155,603522090.45
ID_96,186195713.87
ID_5675,356544263.01
ID_4896,417197605.15
ID_5618,610129.2
ID_7048,342711540.25
ID_5708,807750177.16
ID_1790,1899981929.28
ID_2856,625396755.84
ID_6178,562361582.58
ID_5436,208423081.2
ID_1673,20115685.15
ID_6902,205621402.45
ID_6117,3778137.3
ID_4934,66958942.19
ID_7254,262825315.87
ID_6598,994426635.83
ID_19,48626613.99
ID_3128,350852351.34
ID_3538,122435841.21
ID_4420,2724048262.74
ID_5800,892859666.95
ID_2129,35906650.34
ID_1085,137564222.73
ID_5574,590634406.86
ID_7161,323150522.97
ID_485,225926704.54
ID_609,336512825.36
ID_5594,4900189543.5
ID_2903,44135715.0
ID_5014,810120433.43
ID_2347,5472061585.65
ID_6964,128921841.59
ID_1765,129998865.05
ID_4042,1872508104.05
ID_4040,578966189.3
ID_2266,1913826170.27
ID_7131,265533770.07
ID_4624,1304743142.71
ID_4085,94332548.24
ID_635,750282431.33
ID_6805,298531051.09
ID_6187,109416241.04
ID_4520,270717871.67
ID_5446,58300795.31
ID_714,19592004.59
ID_6053,484070665.57
