ID,price
ID_2575,6031543675.04
ID_6637,40690190.093333334
ID_5704,2438675.6666666665
ID_3606,1516397.5566666666
ID_6443,636477.5333333333
ID_2514,427530845.81
ID_1099,38211431.29333334
ID_6504,256014446.15666667
ID_3335,6316480789.34
ID_4770,275230603.6166667
ID_433,355362796.80333334
ID_6751,786655487.2666667
ID_2635,7545312.1866666665
ID_2773,911601906.54
ID_5167,214609696.22
ID_2879,387597578.97333336
ID_2778,3558337.5033333334
ID_6548,3417712.23
ID_124,397025682.4533333
ID_3700,718420.0666666667
ID_6949,59012860.27
ID_2727,277799057.39
ID_5315,227543248.39666668
ID_5222,364828663.31333333
ID_6916,1754208716.7666667
ID_5034,423814.02
ID_4971,84842670.47
ID_4147,259849186.67
ID_6503,12968430.283333333
ID_3622,636124873.9366666
ID_3642,4217904854.363333
ID_4988,440071195.12333333
ID_255,359464525.56
ID_1349,262999876.39333335
ID_5208,52480966.20333333
ID_3780,327504967.44666666
ID_1326,85976350.52
ID_1375,676783712.98
ID_3283,14640153.226666667
ID_6265,991168944.32
ID_31,573423448.35
ID_2498,53816102.32333333
ID_3664,241394348.16333333
ID_1588,1757233.8333333333
ID_3310,415646112.9266667
ID_7116,104602614.3
ID_3122,1905954661.0333333
ID_4228,1901097443.5666666
ID_2778,3558337.5033333334
ID_3391,33025614.616666667
ID_5681,1285462.5333333334
ID_5927,13325263.083333334
ID_6143,78800022.32666667
ID_2990,260740326.33
ID_6792,59122332.62
ID_4530,2041666.0966666667
ID_4602,1910871953.8666666
ID_5865,126757010.11666666
ID_3565,38029611.78
ID_4488,5798755.533333333
ID_2807,8520129514.916667
ID_1425,69562623.38666667
ID_918,21106402.463333335
ID_4856,7874618488.786667
ID_6650,274290387.1433333
ID_1909,602968779.34
ID_3657,5307320168.56
ID_1721,907674133.95
ID_5993,242874334.22666666
ID_366,78891637.27666667
ID_5884,328352224.07
ID_4570,251666999.03
ID_2494,7554358.866666666
ID_3155,309186521.06666666
ID_96,192981390.00333333
ID_5675,360605573.3566667
ID_4896,470763956.32666665
ID_5618,623978.0666666667
ID_7048,349863556.93
ID_5708,731620796.0433333
ID_1790,1881646651.8
ID_2856,494124705.02666664
ID_6178,610696163.4
ID_5436,208807690.78666666
ID_1673,20026732.483333334
ID_6902,208858754.36666667
