ID,pred
8010,0.54
8011,0.69
8012,0.52
8013,0.59
8014,0.51
8015,0.42
8016,0.54
8017,0.54
8018,0.39
8019,0.43
8020,0.73
8021,0.61
8022,0.38
8023,0.53
8024,0.69
8025,0.75
8026,0.47
8027,0.71
8028,0.56
8029,0.48
8030,0.62
8031,0.55
8032,0.43
8033,0.57
8034,0.61
8035,0.6
8036,0.63
8037,0.62
8038,0.56
8039,0.36
8040,0.66
8041,0.63
8042,0.51
8043,0.47
8044,0.72
8045,0.63
8046,0.39
8047,0.42
8048,0.54
8049,0.49
8050,0.89
8051,0.27
8052,0.48
8053,0.46
8054,0.65
8055,0.49
8056,0.38
8057,0.5
8058,0.27
8059,0.62
8060,0.31
8061,0.54
8062,0.38
8063,0.37
8064,0.29
8065,0.42
8066,0.52
8067,0.39
8068,0.6
8069,0.5
8070,0.54
8071,0.53
8072,0.58
8073,0.48
8074,0.35
8075,0.32
8076,0.34
8077,0.32
8078,0.18
8079,0.36
8080,0.71
8081,0.64
8082,0.49
8083,0.46
8084,0.47
8085,0.44
8086,0.47
8087,0.56
8088,0.26
8089,0.55
8090,0.56
8091,0.58
8092,0.58
8093,0.35
8094,0.36
8095,0.39
8096,0.49
8097,0.59
8098,0.42
8099,0.65
8100,0.59
8101,0.32
8102,0.38
8103,0.52
8104,0.28
8105,0.44
8106,0.51
8107,0.63
8108,0.42
8109,0.53
8110,0.61
8111,0.32
8112,0.59
8113,0.43
8114,0.6
8115,0.55
8116,0.62
8117,0.42
8118,0.23
8119,0.43
8120,0.31
8121,0.41
8122,0.53
8123,0.4
8124,0.61
8125,0.4
8126,0.39
8127,0.41
8128,0.52
8129,0.38
8130,0.42
8131,0.49
8132,0.54
8133,0.48
8134,0.42
8135,0.38
8136,0.35
8137,0.5
8138,0.38
8139,0.65
8140,0.46
8141,0.29
8142,0.57
8143,0.53
8144,0.43
8145,0.5
8146,0.57
8147,0.61
8148,0.63
8149,0.39
8150,0.48
8151,0.37
8152,0.4
8153,0.61
8154,0.58
8155,0.44
8156,0.52
8157,0.46
8158,0.33
8159,0.47
8160,0.2
8161,0.48
8162,0.52
8163,0.45
8164,0.39
8165,0.23
8166,0.34
8167,0.47
8168,0.5
8169,0.54
8170,0.45
8171,0.34
8172,0.27
8173,0.36
8174,0.33
8175,0.35
8176,0.5
8177,0.47
8178,0.48
8179,0.67
8180,0.56
8181,0.35
8182,0.32
8183,0.37
8184,0.39
8185,0.31
8186,0.36
8187,0.44
8188,0.33
8189,0.29
8190,0.64
8191,0.56
8192,0.59
8193,0.65
8194,0.34
8195,0.63
8196,0.47
8197,0.43
8198,0.12
8199,0.53
8200,0.5
8201,0.28
8202,0.27
8203,0.41
8204,0.6
8205,0.32
8206,0.55
8207,0.28
8208,0.46
8209,0.37
8210,0.49
8211,0.28
8212,0.54
8213,0.26
8214,0.47
8215,0.52
8216,0.36
8217,0.59
8218,0.64
8219,0.48
8220,0.75
8221,0.61
8222,0.38
8223,0.51
8224,0.41
8225,0.56
8226,0.5
8227,0.46
8228,0.24
8229,0.59
8230,0.46
8231,0.48
8232,0.3
8233,0.63
8234,0.29
8235,0.56
8236,0.52
8237,0.42
8238,0.29
8239,0.51
8240,0.48
8241,0.4
8242,0.65
8243,0.55
8244,0.43
8245,0.36
8246,0.27
8247,0.55
8248,0.41
8249,0.42
8250,0.38
8251,0.28
8252,0.46
8253,0.54
8254,0.6
8255,0.36
8256,0.71
8257,0.5
8258,0.63
8259,0.74
8260,0.75
8261,0.39
8262,0.67
8263,0.63
8264,0.45
8265,0.57
8266,0.64
8267,0.58
8268,0.62
8269,0.53
8270,0.53
8271,0.6
8272,0.57
8273,0.57
8274,0.49
8275,0.3
8276,0.44
8277,0.33
8278,0.59
8279,0.49
8280,0.57
8281,0.61
8282,0.34
8283,0.61
8284,0.48
8285,0.33
8286,0.36
8287,0.55
8288,0.32
8289,0.57
8290,0.47
8291,0.48
8292,0.54
8293,0.45
8294,0.5
8295,0.32
8296,0.39
8297,0.57
8298,0.34
8299,0.43
8300,0.31
8301,0.39
8302,0.6
8303,0.54
8304,0.51
8305,0.48
8306,0.52
8307,0.37
8308,0.44
8309,0.6
8310,0.58
8311,0.23
8312,0.29
8313,0.49
8314,0.68
8315,0.5
8316,0.67
8317,0.47
8318,0.51
8319,0.32
8320,0.66
8321,0.48
8322,0.5
8323,0.61
8324,0.81
8325,0.55
8326,0.6
8327,0.51
8328,0.6
8329,0.72
8330,0.69
8331,0.29
8332,0.64
8333,0.45
8334,0.41
8335,0.48
