ID,pred
8010,0.5566666666666666
8011,0.73
8012,0.6366666666666667
8013,0.48333333333333334
8014,0.3466666666666667
8015,0.48333333333333334
8016,0.6433333333333333
8017,0.5433333333333333
8018,0.38
8019,0.41
8020,0.67
8021,0.5466666666666666
8022,0.5366666666666666
8023,0.4766666666666667
8024,0.68
8025,0.7166666666666667
8026,0.5966666666666667
8027,0.73
8028,0.44
8029,0.46
8030,0.6166666666666667
8031,0.4866666666666667
8032,0.5233333333333333
8033,0.49
8034,0.6733333333333333
8035,0.6433333333333333
8036,0.6533333333333333
8037,0.52
8038,0.38333333333333336
8039,0.28
8040,0.5066666666666667
8041,0.5833333333333334
8042,0.5433333333333333
8043,0.5066666666666667
8044,0.7033333333333334
8045,0.65
8046,0.41
8047,0.4666666666666667
8048,0.5366666666666666
8049,0.5066666666666667
8050,0.7933333333333333
8051,0.21666666666666667
8052,0.3933333333333333
8053,0.5033333333333333
8054,0.6733333333333333
8055,0.3466666666666667
8056,0.3566666666666667
8057,0.6233333333333333
8058,0.4033333333333333
8059,0.5733333333333334
8060,0.32666666666666666
8061,0.37666666666666665
8062,0.4
8063,0.3933333333333333
8064,0.3433333333333333
8065,0.32666666666666666
8066,0.59
8067,0.39666666666666667
8068,0.61
8069,0.38666666666666666
8070,0.6266666666666667
8071,0.47333333333333333
8072,0.55
8073,0.6
8074,0.32
8075,0.38666666666666666
8076,0.5133333333333333
8077,0.38333333333333336
8078,0.2633333333333333
8079,0.39666666666666667
8080,0.61
8081,0.46
8082,0.4266666666666667
8083,0.39666666666666667
8084,0.5133333333333333
8085,0.4633333333333333
8086,0.5033333333333333
8087,0.5
8088,0.41333333333333333
8089,0.5233333333333333
8090,0.5266666666666666
8091,0.5366666666666666
8092,0.68
8093,0.4166666666666667
8094,0.53
8095,0.4666666666666667
8096,0.4666666666666667
8097,0.67
8098,0.49666666666666665
8099,0.56
8100,0.5433333333333333
8101,0.45
8102,0.4066666666666667
8103,0.24333333333333335
8104,0.6466666666666666
8105,0.4
8106,0.44333333333333336
8107,0.7
8108,0.37
8109,0.49333333333333335
8110,0.5566666666666666
8111,0.36666666666666664
8112,0.49
8113,0.4866666666666667
8114,0.77
8115,0.3433333333333333
8116,0.69
8117,0.4633333333333333
8118,0.26
8119,0.54
8120,0.42
8121,0.35
8122,0.4166666666666667
